id_cliente,idade,renda_mensal,estado,canal_aquisicao,id_pedido,sku_produto,data_compra,quantidade,categoria,linha,custo_producao,preco_venda,Lucro
CLI00001,56,13074.95,BA,Google,PED015566,SKU026,2025-12-05,2,Vinho,Padrão,17.76,22.58,4.819999999999997
CLI00001,56,13074.95,BA,Google,PED017851,SKU048,2025-05-15,1,Chocolate,Fancy,32.15,97.58,65.43
CLI00001,56,13074.95,BA,Google,PED017854,SKU018,2025-11-19,2,Café,Padrão,5.9,7.71,1.8099999999999996
CLI00001,56,13074.95,BA,Google,PED037120,SKU018,2025-05-30,5,Café,Padrão,5.9,7.71,1.8099999999999996
CLI00003,46,6774.69,SP,Orgânico,PED034467,SKU009,2025-03-11,2,Queijo,Padrão,11.4,14.19,2.789999999999999
CLI00003,46,6774.69,SP,Orgânico,PED046136,SKU004,2025-04-19,3,Vinho,Padrão,15.7,20.26,4.560000000000002
CLI00004,32,8543.39,RS,Instagram,PED003607,SKU048,2025-09-13,2,Chocolate,Fancy,32.15,97.58,65.43
CLI00005,60,7743.32,BA,Orgânico,PED017307,SKU009,2025-03-24,5,Queijo,Padrão,11.4,14.19,2.789999999999999
CLI00006,25,3769.16,MG,Instagram,PED000246,SKU006,2025-08-10,4,Queijo,Padrão,24.85,33.3,8.449999999999996
CLI00006,25,3769.16,MG,Instagram,PED004390,SKU041,2025-12-10,1,Café,Fancy,28.04,86.55,58.51
CLI00006,25,3769.16,MG,Instagram,PED016772,SKU043,2025-08-28,4,Chocolate,Padrão,12.3,17.05,4.75
CLI00006,25,3769.16,MG,Instagram,PED016818,SKU045,2025-10-16,2,Queijo,Fancy,23.07,70.64,47.57
CLI00006,25,3769.16,MG,Instagram,PED022081,SKU025,2025-10-24,2,Chocolate,Padrão,7.36,9.23,1.87
CLI00006,25,3769.16,MG,Instagram,PED026921,SKU001,2025-12-16,2,Chocolate,Fancy,36.19,101.34,65.15
CLI00006,25,3769.16,MG,Instagram,PED039355,SKU008,2025-10-19,2,Queijo,Fancy,19.92,44.93,25.009999999999998
CLI00006,25,3769.16,MG,Instagram,PED045343,SKU017,2025-12-19,2,Café,Fancy,49.65,128.55,78.9
CLI00006,25,3769.16,MG,Instagram,PED046606,SKU010,2025-07-02,1,Chocolate,Fancy,22.36,48.84,26.480000000000004
CLI00007,38,8602.26,BA,Google,PED005303,SKU023,2025-09-11,3,Vinho,Padrão,18.37,23.98,5.609999999999999
CLI00007,38,8602.26,BA,Google,PED005726,SKU032,2025-10-11,2,Chocolate,Padrão,29.64,36.07,6.43
CLI00007,38,8602.26,BA,Google,PED008572,SKU024,2025-08-25,2,Café,Padrão,22.37,29.42,7.050000000000001
CLI00007,38,8602.26,BA,Google,PED010392,SKU031,2025-05-08,5,Queijo,Padrão,14.02,17.8,3.780000000000001
CLI00007,38,8602.26,BA,Google,PED014116,SKU007,2025-07-17,2,Chocolate,Padrão,10.68,13.22,2.540000000000001
CLI00007,38,8602.26,BA,Google,PED026031,SKU041,2025-04-22,2,Café,Fancy,28.04,86.55,58.51
CLI00007,38,8602.26,BA,Google,PED029962,SKU020,2025-07-08,4,Vinho,Padrão,13.27,18.56,5.289999999999999
CLI00008,56,4753.85,BA,Google,PED013002,SKU035,2025-09-17,5,Vinho,Padrão,25.3,32.16,6.859999999999996
CLI00008,56,4753.85,BA,Google,PED016517,SKU012,2025-03-17,3,Café,Padrão,21.24,29.1,7.860000000000003
CLI00008,56,4753.85,BA,Google,PED045326,SKU030,2025-12-09,3,Chocolate,Padrão,21.01,27.55,6.539999999999999
CLI00009,36,4619.32,SC,Google,PED006795,SKU009,2025-11-06,4,Queijo,Padrão,11.4,14.19,2.789999999999999
CLI00009,36,4619.32,SC,Google,PED010434,SKU030,2025-08-29,2,Chocolate,Padrão,21.01,27.55,6.539999999999999
CLI00009,36,4619.32,SC,Google,PED020144,SKU025,2025-12-17,4,Chocolate,Padrão,7.36,9.23,1.87
CLI00009,36,4619.32,SC,Google,PED025421,SKU049,2025-10-01,2,Café,Fancy,31.37,77.62,46.25
CLI00009,36,4619.32,SC,Google,PED026774,SKU042,2025-04-26,5,Café,Padrão,22.14,29.93,7.789999999999999
CLI00009,36,4619.32,SC,Google,PED040028,SKU006,2025-01-06,4,Queijo,Padrão,24.85,33.3,8.449999999999996
CLI00009,36,4619.32,SC,Google,PED041888,SKU002,2025-02-16,3,Vinho,Padrão,13.96,19.13,5.169999999999998
CLI00010,40,2407.6,BA,Orgânico,PED000836,SKU024,2025-06-22,4,Café,Padrão,22.37,29.42,7.050000000000001
CLI00010,40,2407.6,BA,Orgânico,PED002034,SKU034,2025-07-31,4,Café,Padrão,28.01,34.38,6.370000000000001
CLI00010,40,2407.6,BA,Orgânico,PED036940,SKU005,2025-01-13,4,Café,Padrão,8.25,10.54,2.289999999999999
CLI00010,40,2407.6,BA,Orgânico,PED041064,SKU013,2025-11-03,4,Café,Padrão,13.05,16.27,3.219999999999999
CLI00011,28,7142.57,PR,Orgânico,PED010715,SKU040,2025-08-24,2,Chocolate,Padrão,12.65,17.56,4.909999999999998
CLI00011,28,7142.57,PR,Orgânico,PED011181,SKU028,2025-12-13,1,Café,Fancy,21.85,62.6,40.75
CLI00011,28,7142.57,PR,Orgânico,PED022220,SKU040,2025-11-01,4,Chocolate,Padrão,12.65,17.56,4.909999999999998
CLI00011,28,7142.57,PR,Orgânico,PED025920,SKU020,2025-08-25,3,Vinho,Padrão,13.27,18.56,5.289999999999999
CLI00011,28,7142.57,PR,Orgânico,PED033725,SKU003,2025-01-03,4,Café,Padrão,28.73,37.16,8.429999999999996
CLI00011,28,7142.57,PR,Orgânico,PED036362,SKU018,2025-07-08,5,Café,Padrão,5.9,7.71,1.8099999999999996
CLI00011,28,7142.57,PR,Orgânico,PED042281,SKU005,2025-02-24,4,Café,Padrão,8.25,10.54,2.289999999999999
CLI00012,28,2757.09,SC,Instagram,PED003005,SKU008,2025-10-07,2,Queijo,Fancy,19.92,44.93,25.009999999999998
CLI00012,28,2757.09,SC,Instagram,PED009595,SKU016,2025-09-28,1,Vinho,Fancy,44.92,112.37,67.45
CLI00012,28,2757.09,SC,Instagram,PED032858,SKU045,2025-01-24,2,Queijo,Fancy,23.07,70.64,47.57
CLI00012,28,2757.09,SC,Instagram,PED036001,SKU019,2025-05-15,5,Queijo,Padrão,6.62,8.72,2.1000000000000005
CLI00013,41,4499.48,RJ,Google,PED006023,SKU006,2025-03-15,2,Queijo,Padrão,24.85,33.3,8.449999999999996
CLI00013,41,4499.48,RJ,Google,PED008675,SKU034,2025-01-14,5,Café,Padrão,28.01,34.38,6.370000000000001
CLI00013,41,4499.48,RJ,Google,PED015095,SKU003,2025-04-22,3,Café,Padrão,28.73,37.16,8.429999999999996
CLI00013,41,4499.48,RJ,Google,PED022343,SKU038,2025-03-18,1,Queijo,Fancy,41.12,86.83,45.71
CLI00013,41,4499.48,RJ,Google,PED025480,SKU019,2025-05-27,2,Queijo,Padrão,6.62,8.72,2.1000000000000005
CLI00013,41,4499.48,RJ,Google,PED031820,SKU019,2025-09-03,5,Queijo,Padrão,6.62,8.72,2.1000000000000005
CLI00013,41,4499.48,RJ,Google,PED033185,SKU047,2025-01-05,3,Vinho,Padrão,20.1,24.7,4.599999999999998
CLI00014,53,9459.5,BA,Orgânico,PED010765,SKU043,2025-09-25,4,Chocolate,Padrão,12.3,17.05,4.75
CLI00014,53,9459.5,BA,Orgânico,PED022333,SKU034,2025-08-02,4,Café,Padrão,28.01,34.38,6.370000000000001
CLI00014,53,9459.5,BA,Orgânico,PED032505,SKU035,2025-12-11,3,Vinho,Padrão,25.3,32.16,6.859999999999996
CLI00014,53,9459.5,BA,Orgânico,PED034554,SKU030,2025-08-10,5,Chocolate,Padrão,21.01,27.55,6.539999999999999
CLI00014,53,9459.5,BA,Orgânico,PED037058,SKU006,2025-02-08,4,Queijo,Padrão,24.85,33.3,8.449999999999996
CLI00014,53,9459.5,BA,Orgânico,PED044101,SKU029,2025-03-21,2,Café,Fancy,19.0,46.93,27.93
CLI00014,53,9459.5,BA,Orgânico,PED044660,SKU015,2025-03-10,1,Queijo,Fancy,27.02,70.79,43.77000000000001
CLI00015,57,8575.3,SC,Google,PED009728,SKU033,2025-01-11,4,Vinho,Padrão,25.99,33.35,7.360000000000003
CLI00015,57,8575.3,SC,Google,PED018224,SKU027,2025-02-25,2,Queijo,Padrão,16.11,20.55,4.440000000000001
CLI00015,57,8575.3,SC,Google,PED019131,SKU023,2025-08-06,3,Vinho,Padrão,18.37,23.98,5.609999999999999
CLI00015,57,8575.3,SC,Google,PED020456,SKU027,2025-10-27,2,Queijo,Padrão,16.11,20.55,4.440000000000001
CLI00015,57,8575.3,SC,Google,PED030134,SKU009,2025-11-23,4,Queijo,Padrão,11.4,14.19,2.789999999999999
CLI00016,41,4696.59,SC,Google,PED014341,SKU040,2025-12-20,4,Chocolate,Padrão,12.65,17.56,4.909999999999998
CLI00017,20,3536.73,BA,Instagram,PED000201,SKU037,2025-01-16,2,Vinho,Fancy,22.55,50.24,27.69
CLI00017,20,3536.73,BA,Instagram,PED006038,SKU016,2025-10-16,2,Vinho,Fancy,44.92,112.37,67.45
CLI00017,20,3536.73,BA,Instagram,PED015701,SKU020,2025-11-15,5,Vinho,Padrão,13.27,18.56,5.289999999999999
CLI00017,20,3536.73,BA,Instagram,PED018031,SKU045,2025-04-02,2,Queijo,Fancy,23.07,70.64,47.57
CLI00017,20,3536.73,BA,Instagram,PED025769,SKU028,2025-03-15,1,Café,Fancy,21.85,62.6,40.75
CLI00017,20,3536.73,BA,Instagram,PED030861,SKU048,2025-06-10,2,Chocolate,Fancy,32.15,97.58,65.43
CLI00017,20,3536.73,BA,Instagram,PED031072,SKU015,2025-01-17,2,Queijo,Fancy,27.02,70.79,43.77000000000001
CLI00018,39,4254.81,SC,Orgânico,PED012150,SKU018,2025-06-11,4,Café,Padrão,5.9,7.71,1.8099999999999996
CLI00018,39,4254.81,SC,Orgânico,PED017461,SKU014,2025-08-24,3,Chocolate,Padrão,19.99,27.88,7.890000000000001
CLI00018,39,4254.81,SC,Orgânico,PED022196,SKU006,2025-11-23,3,Queijo,Padrão,24.85,33.3,8.449999999999996
CLI00018,39,4254.81,SC,Orgânico,PED022253,SKU024,2025-03-20,4,Café,Padrão,22.37,29.42,7.050000000000001
CLI00018,39,4254.81,SC,Orgânico,PED028855,SKU037,2025-08-06,1,Vinho,Fancy,22.55,50.24,27.69
CLI00018,39,4254.81,SC,Orgânico,PED036327,SKU031,2025-07-22,2,Queijo,Padrão,14.02,17.8,3.780000000000001
CLI00018,39,4254.81,SC,Orgânico,PED046345,SKU010,2025-12-30,1,Chocolate,Fancy,22.36,48.84,26.480000000000004
CLI00019,19,2686.5,BA,TikTok,PED001984,SKU029,2025-01-31,2,Café,Fancy,19.0,46.93,27.93
CLI00019,19,2686.5,BA,TikTok,PED004929,SKU049,2025-06-30,2,Café,Fancy,31.37,77.62,46.25
CLI00019,19,2686.5,BA,TikTok,PED026965,SKU037,2025-07-04,1,Vinho,Fancy,22.55,50.24,27.69
CLI00019,19,2686.5,BA,TikTok,PED031519,SKU019,2025-08-09,2,Queijo,Padrão,6.62,8.72,2.1000000000000005
CLI00019,19,2686.5,BA,TikTok,PED038140,SKU022,2025-07-23,2,Vinho,Padrão,24.91,33.34,8.430000000000003
CLI00020,41,6532.43,PE,Orgânico,PED004536,SKU024,2025-03-14,2,Café,Padrão,22.37,29.42,7.050000000000001
CLI00020,41,6532.43,PE,Orgânico,PED007382,SKU024,2025-11-28,5,Café,Padrão,22.37,29.42,7.050000000000001
CLI00020,41,6532.43,PE,Orgânico,PED035483,SKU010,2026-01-01,2,Chocolate,Fancy,22.36,48.84,26.480000000000004
CLI00020,41,6532.43,PE,Orgânico,PED042068,SKU010,2025-11-11,2,Chocolate,Fancy,22.36,48.84,26.480000000000004
CLI00021,61,12249.75,PE,Google,PED008765,SKU021,2025-05-18,2,Queijo,Fancy,34.11,92.27,58.16
CLI00021,61,12249.75,PE,Google,PED021813,SKU015,2025-07-29,2,Queijo,Fancy,27.02,70.79,43.77000000000001
CLI00021,61,12249.75,PE,Google,PED029191,SKU019,2025-03-11,5,Queijo,Padrão,6.62,8.72,2.1000000000000005
